donald john trump was born on june at the jamaica hospital queens new york city,complex
he is the son of frederick christ trump a real estate developer and mary anne macleod,complex
trump grew up in jamaica estates queens and attended the kew-forest school from kindergarten through seventh grade,complex
at age he was enrolled in the new york military academy a private boarding school after his parents discovered that he had made frequent trips into manhattan without their permission,complex
in trump enrolled at fordham university,complex
after two years he transferred to the wharton school of the university of pennsylvania,complex
while at wharton he worked at the family business elizabeth trump son,complex
he graduated in may with a bachelor of science degree in economics,complex
while in college from to trump obtained four student deferments from serving in the military,complex
in he was deemed fit for service based upon a medical examination and in july after graduating from college was briefly classified as eligible to serve by a local draft board,complex
in october he was given a medical deferment which he later attributed to spurs in both heels and classified as -y unqualified for duty except in the case of a national emergency,complex
in the december draft lottery trump 's birthday june received a high number which would have given him a low probability to be called to military service even without the -y,complex
in he was reclassified as -f disqualifying him for service,complex
trump 's ancestors originated from the german village of kallstadt in the palatinate on his father 's side and from the outer hebrides in scotland on his mother 's side,complex
all of his grandparents and his mother were born in europe,complex
trump 's paternal grandfather frederick trump first immigrated to the united states in at the age of and became a citizen in,complex
he amassed a fortune operating boomtown restaurants and boarding houses in the seattle area and the klondike region of canada during its gold rush,complex
on a visit to kallstadt he met elisabeth christ and married her in,complex
the couple permanently settled in new york in,complex
frederick died from influenza during the pandemic,complex
trump 's father fred was born in in the bronx,complex
fred started working with his mother in real estate when he was shortly after his father 's death,complex
their company e,complex
trump son founded in was primarily active in the new york boroughs of queens and brooklyn,complex
fred eventually built and sold thousands of houses barracks and apartments,complex
in donald trump was made president of the company which was later renamed the trump organization,complex
in spite of his german ancestry fred trump sought to pass himself off as swedish amid anti-german sentiment sparked by world war ii,complex
donald trump propagated this story in the art of the deal,complex
trump 's mother mary anne macleod was born in tong lewis scotland,complex
at age in she immigrated to new york where she worked as a maid,complex
fred and mary were married in and raised their family in queens,complex
trump grew up with three elder siblings—maryanne fred jr,complex
and elizabeth—as well as a younger brother named robert,complex
maryanne is an inactive federal appeals court judge on the third circuit,complex
trump has five children by three marriages as well as nine grandchildren,complex
his first two marriages ended in widely publicized divorces,complex
in trump married czech model ivana zelníčková at the marble collegiate church in manhattan in a ceremony performed by the reverend norman vincent peale,complex
they had three children : donald jr,complex
born ivanka born and eric born,complex
ivana became a naturalized united states citizen in,complex
the couple divorced in following trump 's affair with actress marla maples,complex
in october maples gave birth to trump 's daughter who was named tiffany in honor of high-end retailer tiffany company,complex
maples and trump were married two months later in december,complex
they divorced in and tiffany was raised by marla in california,complex
in trump married his third wife slovenian model melania knauss at bethesda-by-the-sea episcopal church in palm beach florida,complex
in melania became a united states citizen and gave birth to a son barron,complex
melania became first lady when trump became president in january,complex
upon his inauguration as president trump delegated the management of his real estate business to his two adult sons eric and don jr,complex
his daughter ivanka resigned from the trump organization and moved to washington d,complex
c,complex
with her husband jared kushner,complex
she serves as an assistant to the president and he is a senior advisor in the white house,complex
trump is a presbyterian,complex
his ancestors were lutheran on his paternal grandfather 's side in germany and presbyterian on his mother 's side in scotland,complex
his parents married in a manhattan presbyterian church in,complex
as a child he attended the first presbyterian church in jamaica queens where he had his confirmation,complex
in the s his parents joined the marble collegiate church in manhattan part of the reformed church,complex
the pastor at marble norman vincent peale ministered to trump 's family and mentored him until peale 's death in,complex
trump has cited peale and his works during interviews when asked about the role of religion in his personal life,complex
in august trump told reporters i am presbyterian protestant,complex
i go to marble collegiate church adding that he attends many different churches because he travels a lot,complex
the marble collegiate church then issued a statement noting that trump and his family have a longstanding history with the church but that he is not an active member,complex
